Ciudad Entidad,Departamento Entidad,Fecha,Valor real,Valor Proyectado,Tamaño valor extraño,Similitud de valor,veces la predicción
SABANALARGA,ATLÁNTICO,2023,28836.70066170844,6793.031712907555,65.89929246842301,33.05559469566063,1914.8589249211457
SABANALARGA,CASANARE,2023,0.40383380427621,13.1482440948486,-0.11188434802663534,1.279971508311431,0.5951140679619881
SABANAS DE SAN ANGEL,MAGDALENA,2023,114.0232582369646,561.390819299221,-4.358930221024285,17.209013573286366,438.2468121025413
SABANETA,ANTIOQUIA,2023,2492.050993003248,4341.558518204093,-26.75211963769237,181.7423556137575,2809.3715807503017
SABOYÁ,BOYACÁ,2023,75.49904162903907,149.81250343322753,-0.9684672387450519,2.937976297321592,12.849039923819998
SAHAGÚN,CÓRDOBA,2023,553.4027257179631,784.2266830027105,-4.386119607981414,23.13172955241751,241.62880346088966
SALADOBLANCO,HUILA,2023,119.23360274649706,555.1701846063135,-4.28265610548166,30.850814888471213,99.01327385063546
SALAMINA,CALDAS,2023,196.7432370777471,337.9682808399204,-2.0706348566568322,10.717974285870831,137.21169314490834
SALAMINA,MAGDALENA,2023,14.22666178511676,58.36433515548702,-0.4429198422311422,3.1935030781605245,29.957418492693876
SALAZAR,NORTE DE SANTANDER,2023,1.803019581155276,37.16091003417971,-0.3133598661384426,1.2266132854496894,7.334898440314078
SALDAÑA,TOLIMA,2023,46.37842608912352,216.89363250732424,-1.6740263364942527,8.52880401871046,59.002177684937976
SALENTO,QUINDÍO,2023,127.0960043840489,256.4842443704608,-1.6673876185515997,10.936493304155247,250.61738489006692
SALGAR,ANTIOQUIA,2023,100.00746550473144,688.5609615802765,-5.518519512262372,31.991457661928028,222.64340647448932
SAMACÁ,BOYACÁ,2023,112.68801612949773,584.4789669722318,-4.564231589999406,12.941574680710104,134.85691679685237
SAMANIEGO,NARIÑO,2023,278.87377685787965,880.1494140267371,-6.401362855121934,27.09143454058171,282.15622393468044
SAMANÁ,CALDAS,2023,27.27751875146904,181.52411844134318,-1.4508936521278015,7.423782983721115,69.00953039697495
SAMPUÉS,SUCRE,2023,189.65657634160084,885.0852724552167,-6.82953444201077,16.49491177514421,190.67537745274865
SAN AGUSTÍN,HUILA,2023,210.77794219172935,980.6560193568475,-7.5642057848666875,15.781447457916016,295.42753020774035
SAN ALBERTO,CESAR,2023,95.46811944179166,348.32136361598964,-2.5977262910768095,13.822512961121896,233.33563993208625
SAN ANDRÉS,ANTIOQUIA,2023,12.72828609466565,1.731689286232,0.04003444846629026,0.0008246541537154366,28.430498620308494
SAN ANDRÉS,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2023,6140.026369982487,6330.874928230049,-28.180918396122124,200.6162497808808,6343.022284968635
SAN ANDRÉS,SANTANDER,2023,272.5491433362781,133.481464958191,0.024138500329832197,2.8315890585985213,410.5342834033206
SAN ANDRÉS SOTAVENTO,CÓRDOBA,2023,145.9936798719,588.2922617793082,-4.453270140315649,24.758928580587842,305.0321296028786
SAN ANTERO,CÓRDOBA,2023,58.56763964548693,252.21158204078677,-1.9265794044542897,10.158894494501777,113.81717058044784
SAN ANTONIO,TOLIMA,2023,26.6314300236103,68.37767286300661,-0.47585474733872757,5.035052328410093,50.0073108215466
SAN ANTONIO DEL TEQUENDAMA,CUNDINAMARCA,2023,74.04468868314504,173.0068831682204,-1.1752013711571276,13.857268285007558,156.55777944698696
SAN BENITO,SANTANDER,2023,8.910031689649482,27.39179925918583,-0.19822355946548956,2.0485386552547835,25.346623832564333
SAN BENITO ABAD,SUCRE,2023,6.590232121881617,110.40049834251404,-0.9256228186063994,2.517207974704407,6.78452297545696
SAN BERNARDO,NARIÑO,2023,19.42553741460782,42.420861244201696,-0.282668864629513,5.860230592097238,13.399510202811719
SAN BERNARDO DEL VIENTO,CÓRDOBA,2023,111.08521433999863,275.1713747382164,-1.8980689350335114,9.41074394336936,141.9229187955488
SAN CALIXTO,NORTE DE SANTANDER,2023,3.193642692843376,13.657574844360362,-0.10423107046040231,2.051288295565466,1.1408080036386863
SAN CARLOS,ANTIOQUIA,2023,555.3184269645271,1321.244466948509,-9.018840166501025,13.033624689079346,504.3653729334373
SAN CARLOS,CÓRDOBA,2023,5.847050639152444,89.52090917825699,-0.74838922959526,5.1491104522869735,8.7660185328493
SAN CAYETANO,NORTE DE SANTANDER,2023,0.161996368477563,0.2,-0.0010284338076923072,0.519491495105834,0.8099818423878149
SAN CRISTÓBAL,BOLÍVAR,2023,2.516243306885275,12.5431550979614,-0.09752716663222302,0.5160957513670408,10.30509855634852
SAN DIEGO,CESAR,2023,986.8683995931501,1712.1441855669018,-10.532297705888222,19.369585627754294,208.17064298329248
SAN EDUARDO,BOYACÁ,2023,7.99117579078205,0.553243139386177,0.02974932527005554,0.0002432160461381598,41.72114214795012
SAN ESTANISLAO,BOLÍVAR,2023,30.04903778718837,226.47043557167063,-1.8273513544243907,11.269904607525623,69.82619701752905
SAN FERNANDO,BOLÍVAR,2023,5.250487441064645,60.46240779161455,-0.499838548607527,0.9690155413591685,15.417079114289088
SAN FRANCISCO,ANTIOQUIA,2023,77.9508636086485,237.3327007412911,-1.7142370481608438,8.531687600133022,173.5141973094435
SAN FRANCISCO,CUNDINAMARCA,2023,98.77265721152312,229.0420555889607,-1.552615161316503,15.446067660510927,57.73413275173008
SAN FRANCISCO,PUTUMAYO,2023,0.926943220428614,7.21040077209473,-0.05830810230749626,0.5095458031880604,3.565242145108276
SAN GIL,SANTANDER,2023,13206.455110060842,11319.378099897494,-40.75777021957374,139.2637438402789,1999.0933690735656
SAN JACINTO,BOLÍVAR,2023,52.68971110996238,322.84488514065737,-2.5624033755882616,9.406238566973546,169.45582985366013
SAN JACINTO DEL CAUCA,BOLÍVAR,2023,3.823633147296381,49.15995550155643,-0.408326403367698,3.047991088981135,0.7111720085003829
SAN JERÓNIMO,ANTIOQUIA,2023,232.43147698920583,370.71437153816214,-2.1994202068198323,23.765214161517626,104.54939156094082
SAN JOAQUÍN,SANTANDER,2023,7.771197219252225,31.920015525817846,-0.24227816988443462,2.9916665765752586,5.703632155658651
SAN JOSÉ,CALDAS,2023,31.18939062640503,512.1451632499696,-4.291273080036718,7.499509117332187,55.66901090695229
SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,2023,129.679663636793,246.30217478275299,-1.5682282420132507,7.521639169047105,182.6123217462471
SAN JOSÉ DE MIRANDA,SANTANDER,2023,219.829930373382,384.32202650308625,-2.371472209243769,5.737751780261021,25.044393756939947
SAN JOSÉ DE PARE,BOYACÁ,2023,1.203270840193053,16.9532360076904,-0.1413132963273933,0.5108313206265926,5.102490980781122
SAN JOSÉ DEL FRAGUA,CAQUETÁ,2023,45.37080312303185,26.877648937702194,-0.03623011047604861,2.3188305045641,55.57274509196723
SAN JOSÉ DEL GUAVIARE,GUAVIARE,2023,2967.338057132603,2906.81019280851,-12.29902650697412,49.18717699377835,1131.8761274298852
SAN JUAN DE BETULIA,SUCRE,2023,70.87311382988588,541.9969808220861,-4.377780811600266,13.771340452412382,87.01140158570284
SAN JUAN DE RÍO SECO,CUNDINAMARCA,2023,57.696484503011256,561.3850923538207,-4.602273477794061,18.23150047325772,108.07145157639376
SAN JUAN DE URABÁ,ANTIOQUIA,2023,17.920281275540706,97.34082772731782,-0.7638008375632446,4.801675336131208,16.602423377236715
SAN JUAN DEL CESAR,LA GUAJIRA,2023,600.2481544752861,1223.4272686719894,-7.979342254126634,30.572350438444566,330.3384572332994
SAN JUAN NEPOMUCENO,BOLÍVAR,2023,145.47144292190353,1210.6956131353977,-9.834441742839942,51.24647961007751,383.3288894041674
SAN LORENZO,NARIÑO,2023,42.84096114670643,507.542207241058,-4.201146135131102,17.551166659637815,62.5617191632392
SAN LUIS,ANTIOQUIA,2023,261.2029711469113,700.7691345036029,-4.927485202316527,25.449011937542867,383.7738778862456
SAN LUIS,TOLIMA,2023,187.05538352762622,411.0754759669303,-2.7443016288722455,14.145030659815802,166.68458520178186
SAN LUIS DE GACENO,BOYACÁ,2023,28.593409698451115,35.72074594497677,-0.18515018463642877,2.26443405878662,41.833861646424566
SAN LUIS DE PALENQUE,CASANARE,2023,47.697655549836504,1166.140657806397,-9.871879086385617,5.577082849422085,20.10843107246717
