,Departamento Entidad,Ciudad Entidad
8224,CESAR,EL COPEY
8262,BOYACÁ,ARCABUCO
8271,BOYACÁ,PACHAVITA
8337,CALDAS,SAMANÁ
8343,CAUCA,ALMAGUER
8383,NARIÑO,SAN LORENZO
8493,NORTE DE SANTANDER,SAN CALIXTO
8517,CALDAS,PÁCORA
8712,META,PUERTO GAITÁN
8729,SANTANDER,PALMAS DEL SOCORRO
8817,BOYACÁ,SOCOTÁ
8820,BOYACÁ,MARIPÍ
8892,BOYACÁ,SUTATENZA
8895,VALLE DEL CAUCA,SAN PEDRO
8903,SANTANDER,TONA
8932,VICHADA,LA PRIMAVERA
9053,SUCRE,COLOSO
9078,MAGDALENA,EL PIÑON
9184,NORTE DE SANTANDER,TOLEDO
9194,ATLÁNTICO,CANDELARIA
9258,ANTIOQUIA,AMAGÁ
9297,TOLIMA,CHAPARRAL
9304,BOYACÁ,NOBSA
9346,CAQUETÁ,PUERTO RICO
9367,ANTIOQUIA,ANGOSTURA
9371,SANTANDER,MACARAVITA
9376,ANTIOQUIA,SONSON
9409,BOLÍVAR,ACHÍ
9445,ANTIOQUIA,SABANALARGA
9464,CUNDINAMARCA,CAPARRAPÍ
9496,BOYACÁ,SANTA MARÍA
9524,NARIÑO,ARBOLEDA
9532,TOLIMA,SUÁREZ
9540,BOYACÁ,FLORESTA
9563,ANTIOQUIA,CISNEROS
9583,BOLÍVAR,TURBANÁ
9597,NARIÑO,POTOSÍ
9615,VALLE DEL CAUCA,BOLÍVAR
9664,TOLIMA,PRADO
9692,ARAUCA,CRAVO NORTE
9701,SANTANDER,AGUADA
9707,NARIÑO,EL TAMBO
9710,META,RESTREPO
9767,BOYACÁ,VENTAQUEMADA
9833,CUNDINAMARCA,EL ROSAL
9861,MAGDALENA,SALAMINA
10031,ANTIOQUIA,PEÑOL
10048,NARIÑO,ROBERTO PAYÁN
10091,BOYACÁ,CHINAVITA
10157,QUINDÍO,GÉNOVA
10165,CUNDINAMARCA,JUNÍN
10182,NORTE DE SANTANDER,SARDINATA
10197,SANTANDER,SANTA BÁRBARA
10226,TOLIMA,VALLE DE SAN JUAN
10344,ANTIOQUIA,SANTO DOMINGO
10389,SANTANDER,SAN JOSÉ DE MIRANDA
10426,BOLÍVAR,RÍO VIEJO
10532,CAUCA,ROSAS
10558,NORTE DE SANTANDER,EL CARMEN
10579,ANTIOQUIA,MUTATÁ
10668,CUNDINAMARCA,NIMAIMA
10861,BOYACÁ,FIRAVITOBA
10912,BOLÍVAR,EL GUAMO
10946,VALLE DEL CAUCA,ULLOA
10949,RISARALDA,SANTUARIO
11031,BOYACÁ,CUBARÁ
